State Name (state_name),State Code (state_code),Forest division name (division),Forest range name (range),Forest Conservation Act project (fca_project),Year of initiation of project (fca_project_year),Name of the site (site_name),Area diverted in hectares (area_diverted),Type of land (land_type),Updated on (updated_on),Updated by (updated_by),Diverted land GPS identifier (diverted_land_gps_id),
Tamil Nadu,33,Thoothukudi,Kovilpatti,EXTESION OF ELECTRICITY SUPPLY TO ARULMIGN TEMPLE [26254],1984,Kurumalai RF,0.24,Reserved Forest (RF),25-10-2017,DFO Thoothukudi,9816,
Karnataka,29,Bellary,Sandur,Grant of permission to use the existing old approach road over an area of 13.30 ha. of forest land by M/s.Sandur Manganese & Iron Ore (SMIORE) Limited [2521],2010,S M Block forest,13.3,Reserved Forest (RF),03-10-2016,RO Sandur,7974,
Punjab,3,Sangrur,Sangrur,Construction of Access road for Retail Outlet of Essar Oil Limited at Sunam [37778],2018,Construction of Access road for Retail Outlet of Essar Oil Limited at Sunam,0.016,Protected Forest (PF),05-02-2021,DFO Sangrur,11657,
Punjab,3,Mansa,Budhlada,"Diversion of 0.064 hec of Forest Land in Favour of PSPCL for Construction of 11 KV line from 11 KV M/s Aster Solar Power Pvt. Ltd., and Nextgen Solux",2019,Sarhand Chowe RD 124 to 140 R/s (Diversion of 0.064 hec PSPCL for Construction of 11 KV Line M/s As,0.88,Protected Forest (PF),10-02-2022,DFO Mansa,13026,
Uttar Pradesh,9,Social Forestry Division Bulandshahar,Syana,400 K.V. BAREILY-MANDOLA D/C TRANSMISSION LINE IN BULANDSHAHAR(0.3952 HA.) [23653],2007,B.B. Nagar - Kucheshar Road Km. 1-5,0,Proposed Protected Forest (Proposed PF),23-03-2015,DFO Social Forestry Division Bulandshahar,3560,
Uttarakhand,5,"DFO ,Kedarnath Wildlife Division","RO Dhanpur Range Gauchar , Kedarnath",BARETH -PINDWALI MOTOR ROAD UNDER P.M.G.S.Y.(6.00)HA. [11307],2007,BARETH,6,Revenue Forest,29-06-2015,"DFO ,Kedarnath Wildlife Division",4163,
Punjab,3,Amritsar,Raiya-2,APP/RD. TO R/O OF IOCL AT VILL. BABA BAKALA [22281],2006,APP/RD. TO R/O OF IOCL AT VILL. BABA BAKALA ON BATALA-BEAS ROAD KM STONE NO 32,0.009,Protected Forest (PF),16-03-2016,DFO Amritsar,7424,
Uttarakhand,5,"DFO Terai West , Ramnagar","RO South Jaspur , TWFD",ESTABLISHMENT OF RAJEEV GANDHI NAVODAYA VIDHYALAYA AT UDHAM SINGH NAGAR [10254],2006,Tumariya Beat,4.929,Reserved Forest (RF),10-11-2014,"DFO Terai West , Ramnagar",2366,
Karnataka,29,Bellary,Sandur,"Divertion of 15.077 ha an additional area for road (11.46 ha.), conveyer belt (0.877 ha.) and dumps (2.74 ha.) of M.L. No.1524 (New ML No.2290) in f [2395]",2007,"S.M.Block, Sandur Taluk.",15.077,Unclassified Forest,24-01-2017,DFO Bellary,8331,
Himachal Pradesh,2,Rajgarh,Rajgarh,"400 KV Nathpa-Jhakri-Kol Dam-aajhakri-Abdullapur-Bhiwani Tr Line, Ft.Div Rampur, Jubbal, Rajgarh and Nahan. [5282]",2019,RF Saniyo Deedag C3b,10,Reserved Forest (RF),30-05-2022,DFO Rajgarh,13491,
Himachal Pradesh,2,Kullu,Manali,"Anjani Mahadav mandir, Kullu Ft. Division. [5915]",2007,2/21 Kangni forest,0.829,Protected Forest (PF),08-05-2015,DFO Kullu,3892,
Karnataka,29,Haveri,Dundasi,"Diversion 15.994 ha of forest land in favour of the Executive Engineer (Electrical) Major work division, KPTCL, Karwar (10.802 ha. in Haveri + 5.192 h [2473]",2008,Hosur fsn 203,2.365,Reserved Forest (RF),18-11-2021,DFO Haveri,12635,
Haryana,6,Sirsa,Kalanwali,Access to IOCL retail outlet (KSK) along Kalanwali -Odhan road Km 6.7 RHS(Odhan-Kalanwali section) at village Kalanwali under forest division and Dist [27733],2014,Odhan-Kalanwali road Km. 6-7 R/s (Section odhan - Kalanwali road )at village Kalanwali,0.012,Protected Forest (PF),04-07-2015,Kalanwali,4203,
Punjab,3,Ferozepur,Jalalabad,APP. ROAD TO RETAIL OUTLET OF HPCL AT VILLAGE RAIAN WALA (MOKHAM ARIAN) ON JALANDHAR-RAIAN ROAD [22488],2007,VILLAGE RAIAN WALA (MOKHAM ARIAN),0.008,Protected Forest (PF),26-10-2015,DFO Ferozepur,6376,
Punjab,3,Hoshiarpur,Mahilpur,APP. RD. TO RETAIL OUTLET FROM MAIN ROAD TO HOSHIARPUR-MAHILPUR RD. [23097],2005,Hoshiarpur-Mahilpur Road K.M 76-77 L/s (Vill Jaitpur)HP Ltd.,0.012,Protected Forest (PF),19-02-2021,DFO Hoshiarpur,11863,
Gujarat,24,Surat,Umarpada,ROAD WIDENING BETWEEN NH-8 FOR SIX LANING OF VADODARA-BHARUCH SECTION OF NH-8 IN FAVOUR OF NATIONAL HIGHWAY AUTHORITY OF INDIA [15055],2007,"UMARPADA RANGE,DARDA-498,60.00,2018-19",60,CA Land Received under FCA Proposal,03-06-2021,DFO Surat,12222,
Punjab,3,Dasuya,Badla,THANA DAM PROJECT [23095],2006,Thana Dam Project village Makowal Diverted area of 0.24 ha,0.24,Protected Forest (PF),02-11-2015,DFO Dasuya,6520,
Haryana,6,Kaithal,Kaithal,Diversion of 0.0073 Ha. of Forest Land to proposed New Retail Outlet of IOCL on Narwana-Ambala Road N.H. 152 WML in Kaithal under Forest Division & Di [27743],2014,Narwana-Ambala Road N.H. 152 WML in Kaithal,0.007,Protected Forest (PF),09-04-2015,DFO Kaithal,3645,
Tripura,16,Manu,Manu,Diversion of 337.33 ha of forest land for construction of 400 KV Transmission Line from Palatana to Chuaribari. [2217],2010,Construction of 400 KV Transmission Line from Palatana to Chuaribari.,9.68,State Forest,18-09-2012,Administrator,518,
Uttarakhand,5,"DFO Lansdowne, kotdwaar","RO Kotdi, Lansdowne",CONSTRUCTION OF REPORTING POLICE OUTPOST AT SANEH [12615],1994,South Kotri Block 11A,0.1,Reserved Forest (RF),09-09-2015,"DFO Lansdowne, kotdwaar",5684,
Himachal Pradesh,2,Ani at Luhari,Chowai,"Chunadhar to Paneo road, Ani ft. divn.1305 [5883]",2019,upf rishta,3.357,Unclassified Forest,13-10-2016,DFO Ani at Luhari,8019,
Andhra Pradesh,28,Kakinada,Gokavaram,Pushkar Lift Irrigation Scheme [372],2006,Passing Through Purushottapatnam RL,1,Reserved Forest (RF),01-06-2016,DFO Kakinada,2614,
Punjab,3,Ludhiana,Ludhiana,Diversion of 0.03568 Ha.(instead of 0.011533 Ha. of new forest land and re-diversion of 0.02415 Ha.) in favour of M/s Bharat Petroleum Corporation Lim,2018,on G.T. Road Km. 327-327.500 L/s. at Vill. Ladhowal,0.036,Protected Forest (PF),02-02-2022,DFO Ludhiana,12952,
Uttar Pradesh,9,Social Forestry Division Moradabad,Moradabad,BY PASS ON NH-24-MORADABAD -SLIP ROAD [23942],2001,Area is on NH24 between point km-148.43 and Moradabad Chandausi Road,0.505,Protected Forest (PF),21-12-2014,DFO Social Forestry Division Moradabad,2740,
